iso_time,mode,event,window,side,secs_left,price,strike,cushion,ask,shares,cost,outcome,pnl,daily_pnl,reason
2026-06-17T16:08:00Z,DRY-RUN (no orders),SKIP,1781712300,,119.3,65758.04,65777.54,-19.5,,,,,,0.0,
2026-06-17T19:48:08Z,DRY-RUN (no orders),SKIP,1781725500,,111.9,64185.72,64185.72,0.0,,,,,,0.0,
2026-06-18T02:33:00Z,DRY-RUN (no orders),SKIP,1781749800,,119.8,64651.8,64656.24,-4.44,,,,,,0.0,
2026-06-18T02:38:00Z,DRY-RUN (no orders),SKIP,1781750100,,119.7,64677.18,64625.52,51.65,0.97,,,,,0.0,
2026-06-18T02:43:00Z,DRY-RUN (no orders),SKIP,1781750400,,119.3,64700.23,64689.35,10.89,,,,,,0.0,
2026-06-18T02:48:01Z,DRY-RUN (no orders),FILL,1781750700,DOWN,119.1,64660.34,64706.29,-45.95,0.94,1.042,1.0,,,0.0,
2026-06-18T02:50:01Z,DRY-RUN (no orders),RESOLVE,1781750700,DOWN,,,64706.29,,,,,WIN,0.0417,0.0417,
2026-06-18T02:53:00Z,DRY-RUN (no orders),SKIP,1781751000,,119.9,64669.8,64666.26,3.54,,,,,,0.0417,
2026-06-18T02:58:00Z,DRY-RUN (no orders),SKIP,1781751300,,119.7,64644.46,64633.73,10.73,,,,,,0.0417,
2026-06-18T03:03:00Z,DRY-RUN (no orders),SKIP,1781751600,,119.5,64478.56,64624.75,-146.19,,,,,,0.0417,
2026-06-18T03:08:00Z,DRY-RUN (no orders),SKIP,1781751900,,119.2,64532.56,64518.62,13.93,,,,,,0.0417,
2026-06-18T03:13:00Z,DRY-RUN (no orders),FILL,1781752200,DOWN,119.3,64465.67,64496.5,-30.83,0.87,5.618,5.0,,,0.0,
2026-06-18T03:15:02Z,DRY-RUN (no orders),RESOLVE,1781752200,DOWN,,,64496.5,,,,,WIN,0.618,0.618,
2026-06-18T03:18:00Z,DRY-RUN (no orders),SKIP,1781752500,,120.0,64458.39,64460.16,-1.77,,,,,,0.618,
2026-06-18T03:23:00Z,DRY-RUN (no orders),FILL,1781752800,DOWN,119.7,64411.19,64437.36,-26.17,0.75,6.494,5.0,,,0.618,
2026-06-18T03:25:01Z,DRY-RUN (no orders),RESOLVE,1781752800,DOWN,,,64437.36,,,,,WIN,1.4935,2.1115,
2026-06-18T03:28:00Z,DRY-RUN (no orders),SKIP,1781753100,,119.5,64275.07,64322.46,-47.39,0.87,,,,,2.1115,
2026-06-18T03:33:00Z,DRY-RUN (no orders),FILL,1781753400,UP,119.2,64305.16,64247.66,57.51,0.95,5.155,5.0,,,2.1115,
2026-06-18T03:35:02Z,DRY-RUN (no orders),RESOLVE,1781753400,UP,,,64247.66,,,,,WIN,0.1546,2.2661,
2026-06-18T03:38:00Z,DRY-RUN (no orders),SKIP,1781753700,,119.0,64219.85,64260.89,-41.04,,,,,,2.2661,
2026-06-18T03:43:00Z,DRY-RUN (no orders),FILL,1781754000,DOWN,120.0,64205.01,64258.87,-53.85,0.82,5.952,5.0,,,2.2661,
2026-06-18T03:45:01Z,DRY-RUN (no orders),RESOLVE,1781754000,DOWN,,,64258.87,,,,,WIN,0.9524,3.2185,
2026-06-18T03:48:00Z,DRY-RUN (no orders),SKIP,1781754300,,119.5,64255.44,64255.65,-0.21,,,,,,3.2185,
2026-06-18T03:53:00Z,DRY-RUN (no orders),SKIP,1781754600,,119.3,64289.3,64264.07,25.22,,,,,,3.2185,
